STATION CODE,year,LOCATIONS,STATE,Temp,D.O.,PH,CONDUCTIVITY,B.O.D.,NITRATE,FECAL COLIFORM,TOTAL COLIFORM,Potability,WQI
1862,2013,KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,GUJARAT,27,6.7,8.1,2520,7.2,1,6,41,0,121.7290896
1862,2011,KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,GUJARAT,29.5,5.9,7.6,36593,3.9,0.07,1200,3200,0,122.0816012
1862,2010,RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,GUJARAT,27,6.8,8.2,26600,3.1,0.62,9000,23000,0,295.7319986
1862,2009,NAN,RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,28,5.8,7.8,16177,3,0.5,10100,25000,0,315.1469922
1862,2008,RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,NAN,30,6.1,8.1,8782,1.9,0.43,16100,38667,0,443.1405953
1862,2006,RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,NAN,29.667,6.5,8.14,16410,5.3,1.397,9200,2400,0,313.4071731
1865,2012,RIVER DHADAR AT KOTHADA,GUJARAT,27,6.2,8.4,894,9,0.38,140,350,0,147.8257683
1865,2011,DHADAR AT KOTHADA,GUJARAT,27,7.6,7.7,1291,10,0.34,23,77,0,135.224259
1865,2010,RIVER DHADAR AT KOTHADA,GUJARAT,29.3,8.1,7.6,938,8.6,0.4,22,108,0,118.6088922
1865,2009,NAN,RIVER DHADAR AT KOTHADA,30,2.5,7.5,1108,6,0.6,16,85,0,120.7376617
1865,2008,RIVER DHADAR AT KOTHADA,NAN,27,1.1,7.8,1076,7.67,0.63,28,77,0,147.7260231
1865,2007,RIVER DHADHAR AT KOTHWADA,NAN,28,5.7,7.6,868,4.2,0.4,5,57,1,90.80385913
1870,2014,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",HIMACHAL PRADESH,18.1,4.4,7.1,694,41,1.2,92,224,0,416.2101896
1870,2013,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",HIMACHAL PRADESH,20.6,4.9,7.4,407,16.3,0,51,120,0,199.1400748
1870,2012,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN",HIMACHAL PRADESH,18,6.2,7.5,788,41.5,4.08,105,235,0,419.7978083
1870,2011,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",HIMACHAL PRADESH,21.8,5.5,7.6,743,7.6,1.02,81,166,0,123.660929
1870,2009,NAN,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",22,5.475,7.82,721.5,6.9,1.26,87.25,249,0,121.6028878
1870,2007,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",NAN,24,4.9,7.6,972,19.6,1.8,328,718,0,238.5554748
1870,2006,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",NAN,18.5,6.65,7.875,914.5,43,0.824,9650,16900,0,651.4187662
1871,2014,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR, H.P.",HIMACHAL PRADESH,23.6,7.8,7.8,376,1.3,0.4,9,17,1,58.47359304
1871,2013,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR, H.P.",HIMACHAL PRADESH,20.3,7.1,7.5,293,1.3,0,9,19,1,56.53666174
1871,2012,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR",HIMACHAL PRADESH,20,7.7,7.4,344,1.2,0.37,9,19,1,51.112976
1871,2011,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR, H.P.",HIMACHAL PRADESH,21.4,8.3,7.6,334,1,0.49,9,16,1,49.94881026
